1,2018,2,36
2,2016,1,5
3,2014,2,33
4,2012,1,44
5,2010,2,7
6,2008,1,8
7,2006,2,22
8,2004,1,20
9,2002,2,45
10,2000,1,1
11,1998,2,23
12,1996,1,45
13,1994,2,30
14,1992,2,17
15,1992,1,38
16,1988,2,7
17,1988,1,36
18,1984,2,50
19,1984,1,45
20,1980,1,37
21,1980,2,45
22,1976,1,7
23,1976,2,3
24,1972,1,49
25,1972,2,23
26,1968,1,25
27,1968,2,17
28,1964,1,23
29,1964,2,3
30,1960,1,22
31,1960,2,45
32,1956,1,2
33,1956,2,22
34,1952,1,16
35,1952,2,30
36,1948,1,44
37,1948,2,40
42,1936,1,27
43,1936,2,27
44,1932,1,45
45,1932,2,45
46,1928,1,28
47,1928,2,40
48,1924,1,17
49,1924,2,17
50,1920,1,4
52,1912,1,39
53,1908,1,44
54,1904,1,45
55,1900,1,17
56,1896,1,20
