1	56	"No official poster was made for the 1896 Olympic Games, but the cover page of the official report is often used to refer to the Games of the I Olympiad. The inscription ""776-1896"", like the drawing as a whole: the Olympic stadium in a newly designed horseshoe shape, the Acropolis, the girl personifying the goddess Athena and presenting the branch of wild olive intended for the victor, mark the bond between the Games of Antiquity and the first Games of the modern era."
2	55	"During the 1900 Universal Exhibition, certain events of international physical exercise and sports competitions were recognised as Olympic and made up the programme of the second modern Olympic Games. Several posters were created-athletics, rowing, cycling, fencing and gymnastics. Here, a female fencer holding in her right hand the three traditional weapons- foil, sword and sabre. However, it should be noted that women did not compete in the fencing competitions until 1924."
3	54	"'It shows a view of the host city, enhanced by the use of a ""fish''s eye"" effect. It is the reproduction of the cover of the programme of the Games.'"
4	53	"'It represents the Shepherd''s Bush Olympic Stadium. Behind the high jumper, in the centre, is the swimming pool and the cinder track. It is in fact the reproduction of the cover of the Games programme.'"
5	52	"It represents the parade of nations, each athlete carrying a twirling flag and all going towards a common goal- the Olympic Games. The nudity of the athletes was a reference to the Games of Antiquity, although it was judged as too ""daring"" by some managers and not distributed in some countries."
6	50	"It represents the flags of the participating nations all flying together. In the top right, the coat of arms of the organising city. In the centre, a discobolus, a reference to the Games of Antiquity. In the background, the city of Antwerp with the Tower of Notre Dame. 90,000 copies were made in 17 languages (large format)."
7	48	"It shows semi-naked athletes, a reminder of Antiquity, making the Olympic salute. In the background, the flag of the French Republic. In the foreground, palm leaves, symbols of victory."
8	46	"It shows a runner in action holding a laurel branch, symbol of victory. In the bottom part, wavy lines in red, white and blue represent the colours of the Dutch national flag."
9	47	"It comprises the Swiss and Olympic flags with, in the background, the Corvatsch piz (mountain of the Grisons)."
10	44	"The poster symbolizes the ancient custom which consisted in sending a Greek athlete to announce the celebration of the next Olympiad and to request the cessation of hostilities. The modern young sportsman presents the laurel of peace. 200,000 copies were made."
11	45	"It represents a ski jumper in the foreground. In the background, a map of the United States with Lake Placid indicated."
12	42	"A competition was held for the design of the poster, but none of the entries were satisfactory. The publicity committee commissioned different artists and finally chose the project of Mr Wurbel, that became the official poster. It features the Quadriga from the Brandenburg Gate, a landmark of the city of Berlin. In the background is the figure of a wreathed victor, his arm raised in the Olympic salute, symbolising Olympic sport. 243,000 copies were made in 19 languages and it was distributed in 34 countries."
13	43	"106,150 copies were made in 13 languages (large format) and 22,450 in German (small format)."
14	36	"'It takes up the theme of the emblem i.e. the clock tower of the Houses of Parliament. The hands of the famous ""Big Ben"" are pointing to 4 o''clock, the time at which the opening of the Games was planned- accompanied by the Olympic rings. In the foreground, there was the drawing of the statue of the ""Discobolus"" (classical icon of the discus thrower from Ancient Greece). There were 100,000 copies made, 50,000 large format and 25,000 small and regular formats.'"
15	37	"15,000 copies were produced."
16	35	"'The best poster was chosen through a competition. The rules stipulated that the five intertwined coloured rings had to be present and the text ""VIes Jeux d''hiver - Oslo - 14 au 25 fevrier 1952"" integrated in the place that was reserved for it. Knut Yran''s designs were selected. 30,000 copies were made in seven languages.'"
17	32	"It is in the form of an invitation card folded three times. On the first flap, the Olympic rings, in the background of the third flap, the arms of the city of Melbourne. 35,000 copies were made in two different formats (100 x 63.5cm and 50 x 32cm)."
18	33	"It takes up the theme of the official emblem, made up of the emblem of the Italian National Olympic Committee, as well as a view of the site of the host city. 11,000 copies were made."
19	30	"This was the result of a competition in which some 212 artists participated. It is made up of a Roman she-wolf, from which Remus and Romulus, founders of the city of Rome, are suckling, on top of a column. On this, there is a victorious athlete being crowned in accordance with Roman custom; around him, people dressed in togas cheering him. Some 290,000 copies in 11 languages were produced."
20	31	"Takes up the design of the official emblem. The background represents a snow field. 57,228 copies were produced in five languages."
21	28	"It recalls the official emblem, composed of the Olympic rings superimposed on the emblem of the Japanese national flag, representing the rising sun. There was a total of four official posters, all designed by Yusaku Kamekura. They were all made by photoengraving using several colours, highlighting the technology of the Japanese printing industry. The posters themselves received a number of prizes for their excellence, including the Milan Prize for poster graphics. 100,000 copies were made."
22	26	"The series of posters for these Games came from the collaboration of three artists: Pedro Ramirez Vazquez, architect and President of the Organising Committee for the Games, Eduardo Terrazas (MEX) and Lance Wyman (USA) who designed the Mexico 68 logo. They then developed it to create the black and white poster, which recalls the patterns of the Huichole Indians. Some 25,000 copies of the poster presented here were produced in one of the following colours: blue, red, yellow, green or black. A total of 1,591,000 posters were produced on the following themes : - 18 sports posters: 287,000 copies - 19 cultural posters: 190,500 copies - 99 posters of various topics : 1,114,000 copies"
23	27	"It was created by the publicist Jean Brian. 170,000 copies were produced."
24	24	"Numerous posters were created for these Games, notably a series on the theme of sports competitions and cultural events. The official poster was meant to promote not one specific sports event, but the whole of the Munich Games. It was supposed to express the specific spirit of the Games. Here, the design evokes the modern architecture of the sporting venues, in a style and using colours which are purposefully simple and pure. In the centre of the background, the famous Olympic tower. 5,000 copies were made."
25	25	"Various well-known Japanese designers were involved in the creation of the posters - the first one was designed by Takashi Kono, the second and third by Yusaku Kamekura and the fourth by Gan Hosoya."
26	22	"The Games Organising Committee made two main series of posters. The first illustrated eight key themes: - the emblem of the International Olympic Committee (here) : entitled â€œThe Invitationâ€ù and representing the five rings reflected symbolically by successive waves, thus inviting the athletes from all the continents to the 1976 Olympic Games. - the emblem of the Organising Committee - Kingston 1976 - Olympia and the Olympic torch carrier - Montreal and Antiquity - the Olympic Stadium - the international youth camp - the mascot The second series illustrates sports."
27	23	"Guided by the principle of not showing one sporting discipline in particular, Arthur Zelger the designer of the poster created a neutral poster, showing a skate, a common feature of winter sports. This skate symbolizes all the disciplines found in the Winter Games: a ski run, a sledge or bobsleigh and the blade of a skate. The white rectangle on the tip makes the â€œIâ€ù of Innsbruck. On the right, in the background, the coloured peaks symbolize the Tyrolean mountains."
28	20	It featured the emblem of the 1980 Olympic Games in Moscow: a section of a running track rising into an architectural silhouette typical of Moscow and a five-pointed star topping the silhouette.
29	21	"It features the official emblem representing a mountain and a double Olympic cauldron, commemorating the Games already held in Lake Placid in 1932."
30	18	"It features the official emblem, a stylised snowflake with the Olympic rings above."
31	19	"The star is a universal symbol of the highest aspirations of mankind, the horizontal bars portray the speed. Sixteen renowned artists designed 15 posters for the Games. The subsequent posters were signed by John Baldessari, Jennifer Bartlet, Jonathan Bofsky, April Greiman abd Jayme Odgers, Raymond Saunders and Garry Winogrand."
32	16	"View of the city of Calgary, above the Olympic rings, the official emblem and the title ""Come Together in Calgary Host City for the XV Olympic Winter Games February 13-28, 1988 Calgary, Alberta, Canada""."
33	14	"Mountains, white snow, blue sky, the sun and Olympism are the different elements that make up this poster. The range of bold colours and the overall simplicity of the design makes it immediately recognisable to all. Jean-Claude Killy and Michel Barnier presented the official poster of the XVI Olympic Winter Games in Albertville and Savoie for the first time on 7 February 1991, exactly one year before the Games"
34	15	"'The Organising Committee for the Barcelona Olympic Games developed a highly ambitious project, which involved 58 different posters grouped in four collections : the official Olympic posters, the painters'' posters, the designers'' posters and the photographic sports posters. For the four official sports posters and the eight painters'' posters, in addition to the normal print run there was a limited edition in silk-screen and lithograph signed be the authors, which the Organising Committee used as prestige gifts for the VIPs who visited Barcelona. Here one of the official posters with the emblem created by Josep M. Trias.'"
35	13	"The posters, produced following the rules of the Lillehammer Games design programme, were meant to incorporate three main aspects : Norwegian originality and particularity, human contact and contact between mankind and nature. The design programme was the main tool in achieving the goal of presenting a unified image. It featured basic visual elements which could be combined in different ways to serve as a basis for recognition and identification : the Lillehammer emblem, the pictograms, the pictographic emblems, the crystal theme, colours, typography and the mascots."
36	12	"The International Olympic Committee (IOC) President, Juan Antonio Samaranch, chose this image drawn by an artist from ""The Look of the Games"", Primo Angeli, as the official poster for the 1996 Olympic Games. ""The Look of the Games"", was established by the Creation Department to ensure the best quality in the design and production of all visible materials for the Atlanta Games."
37	11	"Five kinds of official posters and seven sport-specific posters were printed for these Games, In addition, for the first time at the Olympic Winter Games, a special poster was created for the Opening Ceremony. The first poster created was designated as the official poster for the XVIII Olympic Winter Games to be preserved for posterity. It shows a thrush perched on a ski pole with mountains in the light of dawn, evoking the concept of harmony with nature. It was designed by Masuteru Aoba."
38	10	"To reflect a diversity of styles and techniques, the Organizing Committee asked several poster designers from a wide range of different creative and cultural backgrounds to create posters. In total, 50 posters were published. The official poster was selected from creations presented in the following four categories: â€œSchoolchildrenâ€™s workâ€ù, â€œSydney 2000 emblemsâ€ù, â€œMascotsâ€ù and â€œPostersâ€ù."
39	9	"Polychrome poster composed of a photo representing a flag carrying the logo of the XIX Olympic Winter Games. The flag floats above the mountaintop in the background. Publisher: SLOOC; Fine Art, Saint-Louis."
40	7	"The official poster of Torino 2006 designated by the Torino Organising Committee (TOROC) The poster has as central element entitled the ""Mole Antonelliana"", a symbol which reflects the values of the Games, Sports and of the hosting territory."
41	3	"The official poster captures the essence of the Games in Sochi. The Caucasian Mountains soar majestically above the Black Sea, symbolising the two competition clusters, one on the coast in Sochi, even for the ice events, and the other in the Krasnaya Polyana valley, for the snow, bobsleigh, luge and skeleton events. The emblem of the XXII Olympic Winter Games occupies the whole of the centre, with its unusual feature: the presence of the internet address, a symbol of modernity, innovation and dynamism. At the top is the slogan, â€œHot. Cool. Yours.â€ù â€œHotâ€ù, for the intensity of the sporting competition, the passion of the spectators and the location of these Games, in southern Russia. â€œCoolâ€ù is a reference to the Winter Games and the traditional image of Russia as having a cold climate. The last word, â€œYoursâ€ù, shows that the Games belong to the athletes and the public, and that everyone can get involved in making them a success."
